Entrée,partie du discours,Terme relié,partie du discours,relation
abaisser,VV,réduire,VV,QSYN
abaisser,VV,augmenter,VV,ANTI
abiotique,JJ,biotique,JJ,ANTI
absorber,VV,réfléchir,VV,ANTI
absorber,VV,émettre,VV,ANTI
absorber,VV,absorption,NN,DRV
absorber,VV,libérer,VV,ANTI
absorption,NN,émission,NN,ANTI
absorption,NN,absorber,VV,DRV
absorption,NN,libération,NN,ANTI
accumulateur,NN,pile,NN,QSYN
accumulateur,NN,batterie,NN,QSYN
accumulation,NN,accumuler,VV,DRV
accumuler,VV,accumulation,NN,DRV
accélération,NN,accélérer,VV,DRV
accélération,NN,ralentissement,NN,ANTI
accélérer,VV,intensifier,VV,QSYN
accélérer,VV,ralentir,VV,ANTI
accélérer,VV,amplifier,VV,QSYN
accélérer,VV,accélération,NN,DRV
accélérer,VV,freiner,VV,ANTI
accélérer,VV,augmenter,VV,QSYN
accélérer,VV,aggraver,VV,QSYN
acidification,NN,contamination,NN,QSYN
acidification,NN,eutrophisation,NN,QSYN
activité,NN,agriculture,NN,HYP
adaptation,NN,adapter,VV,DRV
adapter,VV,adaptation,NN,DRV
affecter,VV,altérer,VV,QSYN
affecter,VV,aggraver,VV,QSYN
aggraver,VV,amplifier,VV,QSYN
aggraver,VV,altérer,VV,QSYN
aggraver,VV,intensifier,VV,QSYN
aggraver,VV,accélérer,VV,QSYN
aggraver,VV,aggravation,NN,DRV
aggraver,VV,atténuer,VV,ANTI
aggraver,VV,augmenter,VV,QSYN
agricole,JJ,piscicole,JJ,ANTI
agricole,JJ,agriculture,NN,DRV
agriculteur,NN,fermier,NN,QSYN
agriculteur,NN,cultivateur,NN,HYP
agriculteur,NN,éleveur,NN,HYP
agriculteur,NN,apiculteur,NN,HYP
agriculture,NN,agricole,JJ,DRV
agriculture,NN,élevage,NN,HYP
agriculture,NN,culture,NN,HYP
alcool,NN,éthanol,NN,HYP
alcool,NN,bioéthanol,NN,HYP
alcool,NN,carburant,NN,HYP
algue,NN,organisme,NN,HYP
algue,NN,phytoplancton,NN,HYP
alimenter,VV,recharger,VV,QSYN
alimenter,VV,consommer,VV,ANTI
alimenter,VV,charger,VV,QSYN
alternatif,JJ,traditionnel,JJ,ANTI
alternatif,JJ,continu,JJ,ANTI
altération,NN,changement,NN,QSYN
altération,NN,aggravation,NN,QSYN
altération,NN,perturbation,NN,QSYN
altération,NN,altérer,VV,DRV
altérer,VV,altération,NN,DRV
altérer,VV,modifier,VV,QSYN
altérer,VV,aggraver,VV,QSYN
altérer,VV,affecter,VV,QSYN
altérer,VV,changer,VV,QSYN
altérer,VV,perturber,VV,QSYN
amplification,NN,intensification,NN,QSYN
amplification,NN,augmentation,NN,QSYN
amplification,NN,hausse,NN,QSYN
amplification,NN,atténuation,NN,ANTI
amplifier,VV,atténuer,VV,ANTI
amplifier,VV,augmenter,VV,QSYN
amplifier,VV,intensifier,VV,QSYN
amplifier,VV,amplification,NN,DRV
animal,NN,végétal,NN,ANTI
anthropique,JJ,homme,NN,DRV
anthropique,JJ,humain,JJ,QSYN
anthropique,JJ,naturel,JJ,ANTI
apiculteur,NN,éleveur,NN,QSYN
apiculteur,NN,agriculteur,NN,HYP
apiculteur,NN,sylviculteur,NN,QSYN
apiculture,NN,activité,NN,HYP
apiculture,NN,apicole,JJ,DRV
apiculture,NN,élevage,NN,HYP
apiculture,NN,pisciculture,NN,QSYN
appauvrir,VV,appauvrissement,NN,DRV
appauvrissement,NN,appauvrir,VV,DRV
appauvrissement,NN,raréfaction,NN,QSYN
aquaculture,NN,agriculture,NN,QSYN
aquaculture,NN,élevage,NN,HYP
aquaculture,NN,pisciculture,NN,HYP
aquaculture,NN,pêche,NN,QSYN
aquatique,JJ,océanique,JJ,QSYN
aquatique,JJ,marin,JJ,QSYN
arbre,NN,hêtre,NN,HYP
arbre,NN,végétal,NN,HYP
arbre,NN,bouleau,NN,HYP
arbre,NN,plante,NN,QSYN
arbre,NN,épinette,NN,HYP
arbre,NN,conifère,NN,HYP
arbre,NN,feuillu,NN,HYP
arrêt,NN,démarrage,NN,ANTI
arrêt,NN,infrastructure,NN,HYP
atmosphère,NN,atmosphérique,JJ,DRV
atmosphère,NN,terre,NN,ANTI
atmosphère,NN,air,NN,QSYN
atmosphérique,JJ,atmosphère,NN,DRV
atmosphérique,JJ,stratosphérique,JJ,QSYN
atténuation,NN,amplification,NN,ANTI
atténuation,NN,atténuer,VV,DRV
atténuer,VV,amplifier,VV,ANTI
atténuer,VV,renforcer,VV,ANTI
atténuer,VV,atténuation,NN,DRV
atténuer,VV,intensifier,VV,ANTI
augmentation,NN,croissance,NN,QSYN
augmentation,NN,augmenter,VV,DRV
augmentation,NN,baisse,NN,ANTI
augmentation,NN,diminution,NN,ANTI
augmentation,NN,amplification,NN,QSYN
augmentation,NN,hausse,NN,QSYN
augmenter,VV,élever,VV,QSYN
augmenter,VV,amplifier,VV,QSYN
augmenter,VV,abaisser,VV,ANTI
augmenter,VV,intensifier,VV,QSYN
augmenter,VV,diminuer,VV,ANTI
augmenter,VV,accélérer,VV,QSYN
augmenter,VV,augmentation,NN,DRV
autobus,NN,métro,NN,QSYN
autobus,NN,tramway,NN,QSYN
autobus,NN,train,NN,QSYN
autobus,NN,bus,NN,QSYN
autobus,NN,véhicule,NN,HYP
automobile,JJ,voiture,NN,DRV
automobile,NN,véhicule,NN,HYP
automobile,NN,auto,NN,QSYN
automobiliste,NN,utilisateur,NN,HYP
automobiliste,NN,conducteur,NN,QSYN
autopartage,NN,covoiturage,NN,QSYN
autoroute,NN,autoroutier,JJ,DRV
autoroute,NN,route,NN,HYP
autoroute,NN,infrastructure,NN,HYP
autoroutier,JJ,autoroute,NN,DRV
azote,NN,gaz,NN,HYP
baisse,NN,croissance,NN,ANTI
baisse,NN,baisser,VV,DRV
baisse,NN,élévation,NN,ANTI
baisser,VV,baisse,NN,DRV
baisser,VV,élever,VV,ANTI
baisser,VV,diminuer,VV,QSYN
baisser,VV,augmenter,VV,ANTI
banlieue,NN,zone,NN,HYP
banlieue,NN,ville,NN,ANTI
barrage,NN,réservoir,NN,QSYN
batterie,NN,accumulateur,NN,QSYN
biocarburant,NN,carburant,NN,HYP
biocarburant,NN,éthanol,NN,HYP
biocarburant,NN,biogaz,NN,HYP
biocarburant,NN,biodiesel,NN,HYP
biocarburant,NN,bioéthanol,NN,HYP
biodiesel,NN,biocarburant,NN,HYP
biodiesel,NN,éthanol,NN,QSYN
biodiesel,NN,carburant,NN,HYP
biodiesel,NN,bioéthanol,NN,QSYN
biodiversité,NN,diversité,NN,HYP
biodégradable,JJ,organique,JJ,QSYN
biogaz,NN,biodiesel,NN,QSYN
biogaz,NN,bioéthanol,NN,QSYN
biogaz,NN,éthanol,NN,QSYN
biogaz,NN,biocarburant,NN,HYP
biogaz,NN,carburant,NN,HYP
biomasse,NN,combustible,NN,HYP
biomasse,NN,bioénergie,NN,HYP
biosphère,NN,écosystème,NN,QSYN
biotique,JJ,abiotique,JJ,ANTI
biotique,JJ,écologique,JJ,QSYN
bioéthanol,NN,éthanol,NN,QSYN
bioéthanol,NN,biodiesel,NN,QSYN
bioéthanol,NN,carburant,NN,HYP
bioéthanol,NN,alcool,NN,HYP
bioéthanol,NN,biocarburant,NN,HYP
bois,NN,ressource,NN,HYP
bois,NN,matière,NN,HYP
boisement,NN,plantation,NN,QSYN
boisement,NN,déboisement,NN,ANTI
boisement,NN,boiser,VV,DRV
boiser,VV,déboiser,VV,ANTI
boiser,VV,boisement,NN,DRV
boiser,VV,planter,VV,QSYN
borne,NN,station,NN,QSYN
bouleversement,NN,dérèglement,NN,QSYN
bouleversement,NN,perturbation,NN,QSYN
brancher,VV,raccorder,VV,QSYN
brûler,VV,combustion,NN,DRV
brûler,VV,incinérer,VV,QSYN
calculer,VV,évaluer,VV,QSYN
calculer,VV,estimer,VV,QSYN
calculer,VV,calcul,NN,DRV
camion,NN,véhicule,NN,HYP
capteur,NN,panneau,NN,QSYN
capture,NN,séquestration,NN,QSYN
capture,NN,piégeage,NN,QSYN
capture,NN,stockage,NN,QSYN
capturer,VV,séquestrer,VV,QSYN
capturer,VV,piéger,VV,QSYN
capturer,VV,stocker,VV,QSYN
carbone,NN,gaz,NN,HYP
carbone,NN,carbonique,JJ,DRV
carburant,NN,essence,NN,HYP
carburant,NN,combustible,NN,HYP
carburant,NN,biodiesel,NN,HYP
carburant,NN,biocarburant,NN,HYP
carburant,NN,biogaz,NN,HYP
carburant,NN,alcool,NN,HYP
carburant,NN,hydrogène,NN,HYP
carburant,NN,éthanol,NN,HYP
carburant,NN,diesel,NN,HYP
carburant,NN,bioéthanol,NN,HYP
catastrophe,NN,ouragan,NN,HYP
catastrophe,NN,séisme,NN,HYP
catastrophe,NN,feu,NN,HYP
catastrophe,NN,incendie,NN,HYP
catastrophe,NN,événement,NN,HYP
catastrophe,NN,tornade,NN,HYP
chaleur,NN,énergie,NN,QSYN
changement,NN,variation,NN,QSYN
changement,NN,perturbation,NN,QSYN
changement,NN,fluctuation,NN,QSYN
changement,NN,réchauffement,NN,QSYN
changement,NN,dérèglement,NN,QSYN
changement,NN,modification,NN,QSYN
changement,NN,refroidissement,NN,QSYN
changement,NN,changer,VV,DRV
changer,VV,réchauffer,VV,QSYN
changer,VV,modifier,VV,QSYN
changer,VV,altérer,VV,QSYN
changer,VV,évoluer,VV,QSYN
changer,VV,perturber,VV,QSYN
changer,VV,refroidir,VV,QSYN
changer,VV,changement,NN,DRV
charbon,NN,gaz,NN,QSYN
charbon,NN,pétrole,NN,QSYN
charbon,NN,combustible,NN,HYP
charbon,NN,hydrocarbure,NN,HYP
charge,NN,charger,VV,DRV
charge,NN,plein,NN,QSYN
charge,NN,décharge,NN,ANTI
charger,VV,charge,NN,DRV
charger,VV,décharger,VV,ANTI
charger,VV,stocker,VV,QSYN
chaud,JJ,froid,JJ,ANTI
chauffage,NN,chauffer,VV,DRV
chauffer,VV,rafraîchir,VV,ANTI
chauffer,VV,chauffage,NN,DRV
cinétique,JJ,électrique,JJ,QSYN
circulation,NN,déplacement,NN,QSYN
circulation,NN,circuler,VV,DRV
circuler,VV,circulation,NN,DRV
circuler,VV,parcourir,VV,QSYN
circuler,VV,rouler,VV,QSYN
climat,NN,climatique,JJ,DRV
climat,NN,microclimat,NN,HYP
climatique,JJ,météorologique,JJ,QSYN
climatique,JJ,climat,NN,DRV
climatologie,NN,météorologie,NN,QSYN
collecte,NN,ramassage,NN,QSYN
collectif,JJ,individuel,JJ,ANTI
collectif,JJ,public,JJ,QSYN
combustion,NN,brûler,VV,DRV
communauté,NN,population,NN,QSYN
compenser,VV,balancer,VV,QSYN
compenser,VV,compensation,NN,DRV
compenser,VV,équilibrer,VV,QSYN
compostage,NN,composter,VV,DRV
concentration,NN,teneur,NN,QSYN
conditionnement,NN,conditionner,VV,DRV
conditionnement,NN,traitement,NN,QSYN
conditionner,VV,traiter,VV,QSYN
conditionner,VV,conditionnement,NN,DRV
conducteur,NN,automobiliste,NN,QSYN
conducteur,NN,passager,NN,ANTI
conduire,VV,conduite,NN,DRV
conduite,NN,conduire,VV,DRV
conservation,NN,préservation,NN,QSYN
conservation,NN,conserver,VV,DRV
conservation,NN,protection,NN,QSYN
conserver,VV,préserver,VV,QSYN
conserver,VV,conservation,NN,DRV
conserver,VV,protéger,VV,QSYN
consommateur,NN,producteur,NN,ANTI
consommation,NN,alimentation,NN,ANTI
consommation,NN,surconsommation,NN,HYP
consommation,NN,consommer,VV,DRV
consommer,VV,utiliser,VV,QSYN
consommer,VV,alimenter,VV,ANTI
consommer,VV,consommation,NN,DRV
